,nb_10,nb_15,nb_20,knn_10,knn_15,knn_20,dt_10,dt_15,dt_20,mlp_10,mlp_15,mlp_20
0,0.8891198891198892,0.8891198891198892,0.8891198891198892,0.912065912065912,0.9121429121429121,0.9121429121429121,0.8764918764918765,0.8771848771848771,0.8767998767998768,0.024794024794024795,0.024794024794024795,0.024794024794024795
1,0.9328559328559328,0.9328559328559328,0.9328559328559328,0.9963039963039964,0.9963039963039964,0.9963039963039964,1.0,1.0,1.0,0.024794024794024795,0.024794024794024795,0.024794024794024795
2,0.9775159775159775,0.9775159775159775,0.9775159775159775,0.9976899976899977,0.9976129976129976,0.9976129976129976,1.0,1.0,1.0,0.7520597520597521,0.024794024794024795,0.024794024794024795
3,0.9988449988449989,0.9988449988449989,0.9988449988449989,0.997073997073997,0.997073997073997,0.9971509971509972,1.0,1.0,1.0,0.024794024794024795,0.024794024794024795,0.024794024794024795
4,0.9986139986139986,0.9986139986139986,0.9985369985369985,0.9974589974589975,0.9973819973819974,0.9973819973819974,1.0,1.0,1.0,0.024794024794024795,0.024794024794024795,0.024794024794024795
5,0.9921459921459922,0.992068992068992,0.9921459921459922,0.9969199969199969,0.9969199969199969,0.9969199969199969,1.0,1.0,1.0,0.024794024794024795,0.024794024794024795,0.024794024794024795
6,0.9854469854469855,0.9854469854469855,0.9854469854469855,0.9976129976129976,0.9976129976129976,0.9976129976129976,1.0,1.0,1.0,0.024794024794024795,0.024794024794024795,0.024794024794024795
7,0.9792869792869793,0.9792869792869793,0.9792869792869793,0.9969199969199969,0.9969199969199969,0.9969199969199969,1.0,1.0,1.0,0.024794024794024795,0.024794024794024795,0.024794024794024795
8,0.9577269577269577,0.9577269577269577,0.9577269577269577,0.994994994994995,0.994994994994995,0.994994994994995,1.0,1.0,1.0,0.024794024794024795,0.024794024794024795,0.024794024794024795
9,0.7944867944867945,0.7944097944097944,0.7934857934857935,0.5370755370755371,0.534996534996535,0.5370755370755371,0.5106645106645107,0.5114345114345115,0.5116655116655117,0.7520597520597521,0.024794024794024795,0.024794024794024795
